Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.762373852075006
Sequence55.csv_1: True Class: B, Predicted: B, Probability: 0.9999955281596106
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.727669683921014
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9959050012607862
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997427408
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.693059075294331
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9845700185324586
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.999999999972995
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9442522240059162
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9999403064739361
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9639432372193871
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9999999998781848
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9971725395305682
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9999999770303355
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.7375392517182836
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.99902636175963
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 0.7984468519310641
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9703246918197636
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9847869132163162
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9999999216104676
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9999949411222423
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9999858866211184
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9999986927882396
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.999999915314122
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.6067211511129997
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9995337537372827
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999375891
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.8688735416963627
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9998812751031207
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.9737118133336912
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999981286470866
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999620880455734
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999992533901872
Sequence579.csv_1: True Class: B, Predicted: B, Probability: 0.950145011427321
Sequence58.csv_1: True Class: B, Predicted: B, Probability: 0.5576282554863496
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.639840502109129
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.7802939358006683
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.9998124758002168
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9999932903032634
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9999999993522185
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.9986421769059012
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9964538813867
