Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999969082810608
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9984694948596322
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.999999997503198
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.936357015069427
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999988229006933
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9999595153374731
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.7355388563124374
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999940907169746
Sequence557.csv_1: True Class: B, Predicted: A, Probability: 0.8407206244290878
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999536258
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9954003816562661
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999949778
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.999999993569401
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9999838857088452
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999999910792032
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999999885455526
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9929909184813261
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.99999968412125
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.546143877719155
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9880867388601127
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9998121021976086
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999981404244
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999328697
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999768103835902
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9996103296293954
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999999797944793
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999485750465499
Sequence577.csv_1: True Class: A, Predicted: B, Probability: 0.7891224080810797
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9936963271852228
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997617869
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999954741681885
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.999999995314214
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.6894066442042206
Sequence582.csv_1: True Class: A, Predicted: B, Probability: 0.961321089251581
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9761065305213464
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998178669
Sequence585.csv_1: True Class: A, Predicted: A, Probability: 0.9999999951039548
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999997
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999802
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9997197927226233
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9999999736807348
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999991
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9856169641733408
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999999817804157
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999998546691203
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999903592
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.9999992502003529
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.99999999999998
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.9999986184799868
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9999819654145596
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9999999974644076
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.6047043282919873
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.9999894623958863
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.999999966111655
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence602.csv_1: True Class: A, Predicted: A, Probability: 0.9999973454151703
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9945614555876592
Sequence607.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999997
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.5577967308203565
Sequence609.csv_1: True Class: A, Predicted: B, Probability: 0.9985255050373913
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9999999981481136
Sequence610.csv_1: True Class: A, Predicted: A, Probability: 0.9999950974874644
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9999912734251074
Sequence612.csv_1: True Class: A, Predicted: B, Probability: 0.9999999998754926
Sequence613.csv_1: True Class: A, Predicted: A, Probability: 0.9442784945516844
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.958010274192853
Sequence615.csv_1: True Class: A, Predicted: A, Probability: 0.9999999349853722
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence617.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999922
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.9985894659714843
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.9999999944657532
Sequence621.csv_1: True Class: A, Predicted: A, Probability: 0.9999999832996737
Sequence622.csv_1: True Class: A, Predicted: A, Probability: 0.5493208679976975
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence624.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence625.csv_1: True Class: A, Predicted: A, Probability: 0.9999999634168776
Sequence626.csv_1: True Class: A, Predicted: B, Probability: 0.9999826370560321
Sequence627.csv_1: True Class: A, Predicted: B, Probability: 0.9082221484587064
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999876659
Sequence629.csv_1: True Class: A, Predicted: A, Probability: 0.9999993011483588
Sequence63.csv_1: True Class: A, Predicted: A, Probability: 0.9998729926099797
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.9999999851511076
