Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999647142
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999814112
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9999997307653914
Sequence551.csv_1: True Class: B, Predicted: A, Probability: 0.7551847273447106
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9999999913171581
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999813
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9981275606848986
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.999483459949319
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9739439831583899
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 0.9972180302244256
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9993628841823708
Sequence559.csv_1: True Class: B, Predicted: B, Probability: 0.9999999988265273
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.9999999857505268
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9999747026882586
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.999986749027805
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9999990505019383
Sequence563.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999868303
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9741122265279134
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999836885
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9995547780597411
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9999999987532834
Sequence569.csv_1: True Class: B, Predicted: A, Probability: 0.9030669550384243
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999968494009
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9050713204912763
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.796588926870991
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999876299606724
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9999828574457689
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.9999999991254448
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9999995216937866
Sequence576.csv_1: True Class: B, Predicted: A, Probability: 0.9999994215736223
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.7229967288214859
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9607621261675632
