Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9968697373089906
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.990807978189658
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.7428650456441359
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.6465948372712234
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9996553048100185
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.5732985103009925
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9999906678887938
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.8739030104513277
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9932319497077422
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999819989733405
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.959360894892827
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.7246002230557901
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.764679141745464
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9999679571514195
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9995751689484483
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9724603519048904
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9447012159780543
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.8970277659450074
Sequence565.csv_1: True Class: B, Predicted: A, Probability: 0.9587172684220425
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.5502607583436296
Sequence567.csv_1: True Class: B, Predicted: A, Probability: 0.9999969654441475
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999998281963659
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9117947711227372
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.5420605501911211
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.8553599966824385
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.897197022170617
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.9887756969305324
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9523489073148714
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999157952119371
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.9996252964759572
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9998164742547466
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.5855581553283804
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.6150660868466725
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999993940961598
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9157945293960053
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9439647243888576
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.9639843904525471
Sequence582.csv_1: True Class: B, Predicted: B, Probability: 0.8463655680684365
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9999832216493778
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 0.9988701385955537
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.9898323013071696
Sequence586.csv_1: True Class: B, Predicted: A, Probability: 0.9928427429185256
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9868937590819393
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9999506572456358
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.6179119104980187
Sequence59.csv_1: True Class: A, Predicted: A, Probability: 0.9971885085755392
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.9999710406470276
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9999864517898561
Sequence592.csv_1: True Class: B, Predicted: A, Probability: 0.9841385936825972
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9984230150523721
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 0.9434427401687663
Sequence595.csv_1: True Class: B, Predicted: A, Probability: 0.9180318216526278
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.9183352817978736
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.8914932981342857
Sequence598.csv_1: True Class: B, Predicted: A, Probability: 0.999999464829727
Sequence599.csv_1: True Class: B, Predicted: A, Probability: 0.9710345156023932
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9939810509250999
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 0.9999253340814473
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 0.9436944977639155
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9057508465515134
Sequence602.csv_1: True Class: B, Predicted: A, Probability: 0.8338096228472884
Sequence603.csv_1: True Class: A, Predicted: A, Probability: 0.9998363530860612
Sequence604.csv_1: True Class: A, Predicted: B, Probability: 0.7043676256181359
Sequence605.csv_1: True Class: A, Predicted: A, Probability: 0.9881590293033413
Sequence606.csv_1: True Class: A, Predicted: A, Probability: 0.9765082372297821
Sequence607.csv_1: True Class: A, Predicted: A, Probability: 0.9971106511624045
Sequence608.csv_1: True Class: B, Predicted: A, Probability: 0.6852953905677609
Sequence609.csv_1: True Class: B, Predicted: A, Probability: 0.8189638283042139
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.9999996553334256
Sequence610.csv_1: True Class: A, Predicted: B, Probability: 0.7149548295815675
Sequence611.csv_1: True Class: A, Predicted: A, Probability: 0.9997894976763924
Sequence612.csv_1: True Class: A, Predicted: A, Probability: 0.996756590381606
Sequence613.csv_1: True Class: B, Predicted: A, Probability: 0.9987202584234876
Sequence614.csv_1: True Class: A, Predicted: A, Probability: 0.6154775926094432
Sequence615.csv_1: True Class: B, Predicted: A, Probability: 0.9998255072279482
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.999998055048359
Sequence617.csv_1: True Class: B, Predicted: A, Probability: 0.9999893775023646
Sequence618.csv_1: True Class: A, Predicted: A, Probability: 0.8654693226749333
Sequence619.csv_1: True Class: A, Predicted: A, Probability: 0.9557623642007844
Sequence62.csv_1: True Class: A, Predicted: A, Probability: 0.9996873455882485
Sequence620.csv_1: True Class: A, Predicted: A, Probability: 0.7738253478655414
Sequence621.csv_1: True Class: A, Predicted: B, Probability: 0.6221716265477066
Sequence622.csv_1: True Class: B, Predicted: A, Probability: 0.9999519432025434
Sequence623.csv_1: True Class: A, Predicted: A, Probability: 0.9970336062057505
Sequence624.csv_1: True Class: A, Predicted: A, Probability: 0.9673845249708926
Sequence625.csv_1: True Class: B, Predicted: A, Probability: 0.9985739270557545
Sequence626.csv_1: True Class: A, Predicted: A, Probability: 0.9962075021701843
Sequence627.csv_1: True Class: A, Predicted: A, Probability: 0.9965835251490016
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.5124209236313294
Sequence629.csv_1: True Class: B, Predicted: A, Probability: 0.9817758466106115
Sequence63.csv_1: True Class: B, Predicted: A, Probability: 0.97238490506521
Sequence630.csv_1: True Class: A, Predicted: A, Probability: 0.9778360505564332
Sequence631.csv_1: True Class: A, Predicted: B, Probability: 0.9066713768768419
Sequence632.csv_1: True Class: A, Predicted: A, Probability: 0.699117495999695
Sequence633.csv_1: True Class: A, Predicted: A, Probability: 0.615003282133644
Sequence634.csv_1: True Class: A, Predicted: A, Probability: 0.597902863399243
Sequence635.csv_1: True Class: A, Predicted: A, Probability: 0.9999481927223054
Sequence636.csv_1: True Class: B, Predicted: A, Probability: 0.9922580436269609
Sequence637.csv_1: True Class: B, Predicted: A, Probability: 0.9997110652840078
Sequence638.csv_1: True Class: B, Predicted: A, Probability: 0.9998986051846284
Sequence639.csv_1: True Class: A, Predicted: A, Probability: 0.7228735206836955
Sequence64.csv_1: True Class: B, Predicted: A, Probability: 0.7600525565582116
Sequence640.csv_1: True Class: B, Predicted: A, Probability: 0.9547369565153239
Sequence641.csv_1: True Class: A, Predicted: A, Probability: 0.8904852773817679
Sequence642.csv_1: True Class: B, Predicted: A, Probability: 0.9819051402830743
Sequence643.csv_1: True Class: A, Predicted: A, Probability: 0.9672168455473023
Sequence644.csv_1: True Class: B, Predicted: A, Probability: 0.9963808818311264
Sequence645.csv_1: True Class: B, Predicted: A, Probability: 0.9822552619549019
Sequence646.csv_1: True Class: B, Predicted: A, Probability: 0.9999999131917143
Sequence647.csv_1: True Class: A, Predicted: A, Probability: 0.9748838155845746
Sequence648.csv_1: True Class: A, Predicted: B, Probability: 0.6324590757824872
Sequence649.csv_1: True Class: B, Predicted: A, Probability: 0.9843519560361115
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.9997217440652504
Sequence650.csv_1: True Class: B, Predicted: A, Probability: 0.750472614240162
Sequence651.csv_1: True Class: A, Predicted: B, Probability: 0.6898692189567744
Sequence652.csv_1: True Class: A, Predicted: A, Probability: 0.705836838946283
Sequence653.csv_1: True Class: A, Predicted: A, Probability: 0.979914320183337
