Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: D, Predicted: B, Probability: 0.9937960465892559
Sequence550.csv_1: True Class: B, Predicted: B, Probability: 0.9999962805783932
Sequence551.csv_1: True Class: C, Predicted: D, Probability: 0.9921064006799271
Sequence552.csv_1: True Class: A, Predicted: C, Probability: 0.9999172164799598
Sequence553.csv_1: True Class: C, Predicted: C, Probability: 0.9999999675438266
Sequence554.csv_1: True Class: D, Predicted: C, Probability: 0.9297594381823893
Sequence555.csv_1: True Class: D, Predicted: D, Probability: 0.9099790254987818
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999977938958
Sequence557.csv_1: True Class: D, Predicted: D, Probability: 0.5243181090489109
Sequence558.csv_1: True Class: D, Predicted: D, Probability: 0.9999999932855231
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999998478261647
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9964639898593952
Sequence560.csv_1: True Class: C, Predicted: C, Probability: 0.9938807307427727
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999999911956298
Sequence562.csv_1: True Class: C, Predicted: A, Probability: 0.6415517886960899
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9998339282376006
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999993
Sequence565.csv_1: True Class: C, Predicted: C, Probability: 0.9997512008179799
Sequence566.csv_1: True Class: B, Predicted: D, Probability: 0.9999999996227554
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence568.csv_1: True Class: D, Predicted: C, Probability: 0.9396342060919197
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.998369716593687
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999927522
Sequence570.csv_1: True Class: D, Predicted: D, Probability: 0.9999239398251138
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999999992811385
Sequence572.csv_1: True Class: C, Predicted: C, Probability: 0.7899011320753851
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9984112135788047
Sequence574.csv_1: True Class: D, Predicted: B, Probability: 0.999977003279631
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999999918691216
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999992756
Sequence578.csv_1: True Class: D, Predicted: D, Probability: 0.9999861066992007
Sequence579.csv_1: True Class: D, Predicted: C, Probability: 0.8764978625348762
Sequence58.csv_1: True Class: D, Predicted: D, Probability: 0.9997084622903921
Sequence580.csv_1: True Class: D, Predicted: C, Probability: 0.9894224208991882
Sequence581.csv_1: True Class: A, Predicted: D, Probability: 0.8727191987142041
Sequence582.csv_1: True Class: A, Predicted: D, Probability: 0.9994317543033585
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.9999879372658497
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 0.9205048413607027
