Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9042780340174782
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998246321
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999839232
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9999953824417339
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9786253204964451
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999997681
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9812718919789096
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999999177075756
Sequence558.csv_1: True Class: B, Predicted: A, Probability: 0.9999925531073655
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.9999986150974987
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9980851039260261
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998316516
Sequence562.csv_1: True Class: B, Predicted: A, Probability: 0.7298763374289277
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999174015
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.9999985327268908
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9999922873935831
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.7065095796667528
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999973
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999620389125072
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9908887259322405
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9998553488494071
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.999999402149289
Sequence571.csv_1: True Class: B, Predicted: B, Probability: 0.9915327579525363
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.5783114627217029
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999970575902019
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999912215736604
Sequence576.csv_1: True Class: B, Predicted: A, Probability: 0.9999986421384871
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999995302845
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9995360020291567
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9999999999997641
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999914836161
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.6042864991576239
Sequence581.csv_1: True Class: B, Predicted: B, Probability: 0.9995402903751427
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.8731778915819095
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.9999989039605545
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9970798756614029
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.999634492341985
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence59.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999680363
Sequence590.csv_1: True Class: A, Predicted: B, Probability: 0.9999936678021772
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999998387
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999996717
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999986
Sequence594.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence595.csv_1: True Class: B, Predicted: B, Probability: 0.9999999962184355
Sequence596.csv_1: True Class: B, Predicted: A, Probability: 0.9998743102952211
Sequence597.csv_1: True Class: B, Predicted: B, Probability: 0.6642290143824665
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 0.9999999894553862
Sequence599.csv_1: True Class: B, Predicted: B, Probability: 0.9999595783151444
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence60.csv_1: True Class: B, Predicted: B, Probability: 0.9998336901396842
Sequence600.csv_1: True Class: B, Predicted: B, Probability: 0.9999794367812194
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9983066422895204
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9999713364741857
Sequence603.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999991483
