Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.6317223068085476
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999999871088168
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999983931969542
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.9980090227168931
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999992
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999999171785328
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999875
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999528
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.5811318618176471
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.5124464801619738
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9999999928646963
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.997067351988514
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.999999999833114
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999979247791324
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999999
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999107
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.99999999959654
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999972541056
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9989592871729412
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999993258
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9997606056203429
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999799088
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.6711798058151264
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999014
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999990529223
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.969642748629872
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.999999999961342
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence584.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence585.csv_1: True Class: B, Predicted: A, Probability: 0.9996162857070289
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999931
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999989528
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence59.csv_1: True Class: A, Predicted: B, Probability: 0.9999985438313956
Sequence590.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence591.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999998
Sequence592.csv_1: True Class: A, Predicted: B, Probability: 0.9997885751253743
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999681
Sequence594.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.9999950666182897
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence597.csv_1: True Class: A, Predicted: B, Probability: 0.9999997747894555
Sequence598.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence599.csv_1: True Class: A, Predicted: A, Probability: 0.9979998028771607
Sequence6.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999971
Sequence60.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence600.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence601.csv_1: True Class: A, Predicted: A, Probability: 0.9787558860877247
Sequence602.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999620494
Sequence603.csv_1: True Class: B, Predicted: A, Probability: 0.999999885085615
Sequence604.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999993597
Sequence605.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence606.csv_1: True Class: B, Predicted: A, Probability: 0.9999986984940145
