Sequence549.csv_1: True Class: C, Predicted: B, Probability: 0.9999540562337906
Sequence55.csv_1: True Class: A, Predicted: C, Probability: 0.9999998162085111
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.9999040631763549
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.9584914563836091
Sequence552.csv_1: True Class: B, Predicted: B, Probability: 0.5756177185156703
Sequence553.csv_1: True Class: A, Predicted: C, Probability: 0.999700525860833
Sequence554.csv_1: True Class: C, Predicted: B, Probability: 0.6594377991164752
Sequence555.csv_1: True Class: B, Predicted: C, Probability: 0.9289785259676745
Sequence556.csv_1: True Class: C, Predicted: B, Probability: 0.9701328790114134
Sequence557.csv_1: True Class: C, Predicted: C, Probability: 0.9999565592628262
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.9965861098839439
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.9999842067763138
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9998398291793262
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.6762648021642695
Sequence561.csv_1: True Class: B, Predicted: B, Probability: 0.9546797205149944
Sequence562.csv_1: True Class: C, Predicted: C, Probability: 0.9999174952394411
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9870587607683488
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9968515154789945
Sequence565.csv_1: True Class: C, Predicted: B, Probability: 0.9991112277702787
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999991478
Sequence567.csv_1: True Class: A, Predicted: C, Probability: 0.9999998877105128
Sequence568.csv_1: True Class: A, Predicted: C, Probability: 0.9849750586140633
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.9408301260410231
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9976768620120177
Sequence570.csv_1: True Class: A, Predicted: C, Probability: 0.9999971224294627
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9980614339294214
Sequence572.csv_1: True Class: B, Predicted: A, Probability: 0.967405540062096
Sequence573.csv_1: True Class: C, Predicted: C, Probability: 0.657347535492544
Sequence574.csv_1: True Class: C, Predicted: C, Probability: 0.9996872560881948
Sequence575.csv_1: True Class: C, Predicted: B, Probability: 0.8698477370549074
Sequence576.csv_1: True Class: C, Predicted: A, Probability: 0.9641854062755877
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.9003448620186294
Sequence578.csv_1: True Class: B, Predicted: C, Probability: 0.9999984766181061
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.6386405635019454
Sequence58.csv_1: True Class: B, Predicted: C, Probability: 0.6905183067575957
Sequence580.csv_1: True Class: C, Predicted: A, Probability: 0.9999999986945578
Sequence581.csv_1: True Class: A, Predicted: C, Probability: 0.994921508381656
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9948751957932815
Sequence583.csv_1: True Class: C, Predicted: C, Probability: 0.9937551559770319
Sequence584.csv_1: True Class: C, Predicted: B, Probability: 0.9700950295278697
Sequence585.csv_1: True Class: C, Predicted: B, Probability: 0.9999973035231023
Sequence586.csv_1: True Class: B, Predicted: C, Probability: 0.9773675146909364
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9980506895258731
Sequence588.csv_1: True Class: C, Predicted: A, Probability: 0.9999822320196754
Sequence589.csv_1: True Class: B, Predicted: C, Probability: 0.9983663734177614
Sequence59.csv_1: True Class: B, Predicted: C, Probability: 0.9999696526531147
Sequence590.csv_1: True Class: C, Predicted: B, Probability: 0.5093438693733454
Sequence591.csv_1: True Class: B, Predicted: A, Probability: 0.9985124023230075
Sequence592.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999419967
Sequence593.csv_1: True Class: B, Predicted: C, Probability: 0.9997951377627666
Sequence594.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999999984
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.4181927060406685
Sequence596.csv_1: True Class: A, Predicted: B, Probability: 0.7657324119666362
Sequence597.csv_1: True Class: C, Predicted: A, Probability: 0.9998045118295152
Sequence598.csv_1: True Class: B, Predicted: C, Probability: 0.9999898621313557
Sequence599.csv_1: True Class: C, Predicted: C, Probability: 0.9999992256167505
Sequence6.csv_1: True Class: B, Predicted: B, Probability: 0.9999992447378985
Sequence60.csv_1: True Class: A, Predicted: B, Probability: 0.9905386234797984
Sequence600.csv_1: True Class: C, Predicted: A, Probability: 0.9999999984573726
Sequence601.csv_1: True Class: B, Predicted: B, Probability: 0.9930820955101615
Sequence602.csv_1: True Class: C, Predicted: C, Probability: 0.999521739263798
Sequence603.csv_1: True Class: C, Predicted: A, Probability: 0.9998572592176067
Sequence604.csv_1: True Class: C, Predicted: A, Probability: 0.9999737566768152
Sequence605.csv_1: True Class: C, Predicted: B, Probability: 0.9761795905339484
Sequence606.csv_1: True Class: A, Predicted: B, Probability: 0.9998699152009922
Sequence607.csv_1: True Class: C, Predicted: B, Probability: 0.9999805223507934
Sequence608.csv_1: True Class: B, Predicted: B, Probability: 0.9291016173373408
Sequence609.csv_1: True Class: C, Predicted: C, Probability: 0.9021776215152283
Sequence61.csv_1: True Class: A, Predicted: A, Probability: 0.7739275923526518
Sequence610.csv_1: True Class: B, Predicted: A, Probability: 0.7975274535111743
Sequence611.csv_1: True Class: C, Predicted: C, Probability: 0.9963143073483121
Sequence612.csv_1: True Class: B, Predicted: C, Probability: 0.8857593212545704
Sequence613.csv_1: True Class: C, Predicted: B, Probability: 0.9999153929802812
Sequence614.csv_1: True Class: B, Predicted: C, Probability: 0.8637739706630914
Sequence615.csv_1: True Class: C, Predicted: C, Probability: 0.9902059247424938
Sequence616.csv_1: True Class: A, Predicted: A, Probability: 0.9985055225594867
Sequence617.csv_1: True Class: C, Predicted: C, Probability: 0.9991273696992078
Sequence618.csv_1: True Class: C, Predicted: C, Probability: 0.5682397466962095
Sequence619.csv_1: True Class: C, Predicted: B, Probability: 0.711493386846615
Sequence62.csv_1: True Class: C, Predicted: B, Probability: 0.9700974924112132
Sequence620.csv_1: True Class: B, Predicted: C, Probability: 0.9999995572744618
Sequence621.csv_1: True Class: C, Predicted: C, Probability: 0.9999991918563129
Sequence622.csv_1: True Class: C, Predicted: A, Probability: 0.9999999999997969
Sequence623.csv_1: True Class: A, Predicted: C, Probability: 0.9748642718780229
Sequence624.csv_1: True Class: A, Predicted: B, Probability: 0.9999910177001994
Sequence625.csv_1: True Class: A, Predicted: B, Probability: 0.9820296374715488
Sequence626.csv_1: True Class: B, Predicted: B, Probability: 0.8779079503421661
Sequence627.csv_1: True Class: C, Predicted: A, Probability: 0.9998898305570069
Sequence628.csv_1: True Class: A, Predicted: A, Probability: 0.9953473175608057
Sequence629.csv_1: True Class: B, Predicted: A, Probability: 0.5983638398219304
Sequence63.csv_1: True Class: C, Predicted: B, Probability: 0.9999968173570771
Sequence630.csv_1: True Class: C, Predicted: B, Probability: 0.9998462209351069
Sequence631.csv_1: True Class: C, Predicted: C, Probability: 0.5470159559269837
Sequence632.csv_1: True Class: B, Predicted: A, Probability: 0.9999994964386302
Sequence633.csv_1: True Class: C, Predicted: A, Probability: 0.9993201345951602
Sequence634.csv_1: True Class: A, Predicted: C, Probability: 0.9999575340321435
Sequence635.csv_1: True Class: A, Predicted: C, Probability: 0.9999999998512201
Sequence636.csv_1: True Class: B, Predicted: C, Probability: 0.9674727148589174
Sequence637.csv_1: True Class: A, Predicted: B, Probability: 0.9057408733203088
Sequence638.csv_1: True Class: B, Predicted: A, Probability: 0.9754601167016316
Sequence639.csv_1: True Class: A, Predicted: C, Probability: 0.9401621736304369
Sequence64.csv_1: True Class: B, Predicted: C, Probability: 0.9717014906981203
Sequence640.csv_1: True Class: C, Predicted: C, Probability: 0.9999999786814192
Sequence641.csv_1: True Class: B, Predicted: A, Probability: 0.9879441137693069
Sequence642.csv_1: True Class: C, Predicted: A, Probability: 0.9072453548720704
Sequence643.csv_1: True Class: A, Predicted: B, Probability: 0.99997628184679
Sequence644.csv_1: True Class: A, Predicted: C, Probability: 0.9394172936905177
Sequence645.csv_1: True Class: A, Predicted: A, Probability: 0.9895835872096682
Sequence646.csv_1: True Class: B, Predicted: C, Probability: 0.9999995644000321
Sequence647.csv_1: True Class: A, Predicted: C, Probability: 0.9999197038817829
Sequence648.csv_1: True Class: C, Predicted: A, Probability: 0.9819569079383966
Sequence649.csv_1: True Class: C, Predicted: C, Probability: 0.9963754737260366
Sequence65.csv_1: True Class: A, Predicted: A, Probability: 0.9999879617563372
Sequence650.csv_1: True Class: C, Predicted: C, Probability: 0.9996459683081891
Sequence651.csv_1: True Class: A, Predicted: A, Probability: 0.9877597255455292
Sequence652.csv_1: True Class: C, Predicted: C, Probability: 0.9999999518662219
Sequence653.csv_1: True Class: A, Predicted: B, Probability: 0.45979821385698305
Sequence654.csv_1: True Class: A, Predicted: A, Probability: 0.7065498390834762
Sequence655.csv_1: True Class: B, Predicted: C, Probability: 0.9999999982932726
Sequence656.csv_1: True Class: A, Predicted: C, Probability: 0.8800566576598362
Sequence657.csv_1: True Class: A, Predicted: A, Probability: 0.8740779594281198
Sequence658.csv_1: True Class: C, Predicted: C, Probability: 0.9989980288976429
Sequence659.csv_1: True Class: B, Predicted: C, Probability: 0.44992058534745216
Sequence66.csv_1: True Class: C, Predicted: B, Probability: 0.9937335574173384
Sequence660.csv_1: True Class: C, Predicted: B, Probability: 0.9944950282333062
Sequence661.csv_1: True Class: B, Predicted: A, Probability: 0.6135703260257632
Sequence662.csv_1: True Class: C, Predicted: A, Probability: 0.9894788271135162
Sequence663.csv_1: True Class: A, Predicted: B, Probability: 0.9999910136503425
Sequence664.csv_1: True Class: A, Predicted: B, Probability: 0.9999999945677109
Sequence665.csv_1: True Class: B, Predicted: A, Probability: 0.9534759715729927
Sequence666.csv_1: True Class: A, Predicted: C, Probability: 0.9964157280441022
Sequence667.csv_1: True Class: A, Predicted: C, Probability: 0.9999211125177746
Sequence668.csv_1: True Class: A, Predicted: B, Probability: 0.9991081368639938
Sequence669.csv_1: True Class: A, Predicted: B, Probability: 0.999799375384394
Sequence67.csv_1: True Class: A, Predicted: A, Probability: 0.9999163547819337
Sequence670.csv_1: True Class: B, Predicted: A, Probability: 0.9075896789625681
Sequence671.csv_1: True Class: B, Predicted: A, Probability: 0.8261097323188444
Sequence672.csv_1: True Class: B, Predicted: B, Probability: 0.9998577573111739
Sequence673.csv_1: True Class: A, Predicted: A, Probability: 0.9002400319298236
Sequence674.csv_1: True Class: B, Predicted: A, Probability: 0.9998310961485511
Sequence675.csv_1: True Class: A, Predicted: C, Probability: 0.9279858455627169
Sequence676.csv_1: True Class: A, Predicted: C, Probability: 0.9958353324032585
Sequence677.csv_1: True Class: B, Predicted: A, Probability: 0.9999999501568593
Sequence678.csv_1: True Class: C, Predicted: C, Probability: 0.9994063218044311
Sequence679.csv_1: True Class: B, Predicted: B, Probability: 0.9484978839033399
Sequence68.csv_1: True Class: B, Predicted: B, Probability: 0.9564322664485303
Sequence680.csv_1: True Class: A, Predicted: A, Probability: 0.9999812583567804
Sequence681.csv_1: True Class: A, Predicted: B, Probability: 0.9889404338308176
Sequence682.csv_1: True Class: A, Predicted: C, Probability: 0.9966166570694757
Sequence683.csv_1: True Class: A, Predicted: A, Probability: 0.9897481801396406
Sequence684.csv_1: True Class: B, Predicted: C, Probability: 0.9999999994315127
Sequence685.csv_1: True Class: B, Predicted: C, Probability: 0.9847310676461992
Sequence686.csv_1: True Class: C, Predicted: C, Probability: 0.9996591644614369
Sequence687.csv_1: True Class: C, Predicted: B, Probability: 0.9988247697712657
Sequence688.csv_1: True Class: C, Predicted: A, Probability: 0.5971974272754736
Sequence689.csv_1: True Class: B, Predicted: B, Probability: 0.9541375761735508
Sequence69.csv_1: True Class: A, Predicted: A, Probability: 0.9997414075200952
Sequence690.csv_1: True Class: B, Predicted: A, Probability: 0.802099793523997
Sequence691.csv_1: True Class: C, Predicted: C, Probability: 0.9029493510972043
Sequence692.csv_1: True Class: A, Predicted: C, Probability: 0.8763846845172093
Sequence693.csv_1: True Class: C, Predicted: C, Probability: 0.6706928446875657
Sequence694.csv_1: True Class: A, Predicted: C, Probability: 0.9978210924861832
Sequence695.csv_1: True Class: C, Predicted: A, Probability: 0.9610628335840112
Sequence696.csv_1: True Class: C, Predicted: A, Probability: 0.8340012909615382
Sequence697.csv_1: True Class: B, Predicted: B, Probability: 0.9988048880033418
Sequence698.csv_1: True Class: B, Predicted: A, Probability: 0.9929174900356743
Sequence699.csv_1: True Class: C, Predicted: A, Probability: 0.8774644831065455
Sequence7.csv_1: True Class: C, Predicted: A, Probability: 0.9181149231114057
Sequence70.csv_1: True Class: A, Predicted: B, Probability: 0.8792388528902171
Sequence700.csv_1: True Class: B, Predicted: C, Probability: 0.9818666454786307
Sequence701.csv_1: True Class: C, Predicted: B, Probability: 0.9999997175026404
Sequence702.csv_1: True Class: B, Predicted: A, Probability: 0.9937847167412058
Sequence703.csv_1: True Class: C, Predicted: C, Probability: 0.811850969201579
Sequence704.csv_1: True Class: A, Predicted: C, Probability: 0.9171865364800008
Sequence705.csv_1: True Class: B, Predicted: B, Probability: 0.8768705001623168
Sequence706.csv_1: True Class: C, Predicted: C, Probability: 0.9958789245376759
Sequence707.csv_1: True Class: A, Predicted: A, Probability: 0.9995482412559923
Sequence708.csv_1: True Class: A, Predicted: C, Probability: 0.48999975613254243
Sequence709.csv_1: True Class: C, Predicted: C, Probability: 0.9948626073672064
Sequence71.csv_1: True Class: A, Predicted: C, Probability: 0.9995518544577564
Sequence710.csv_1: True Class: C, Predicted: B, Probability: 0.8869921230428818
Sequence711.csv_1: True Class: C, Predicted: B, Probability: 0.4898474373723795
Sequence712.csv_1: True Class: A, Predicted: C, Probability: 0.9048954376268297
Sequence713.csv_1: True Class: B, Predicted: C, Probability: 0.7363566743150097
Sequence714.csv_1: True Class: B, Predicted: C, Probability: 0.9999944534462083
Sequence715.csv_1: True Class: A, Predicted: A, Probability: 0.9999965949211354
Sequence716.csv_1: True Class: B, Predicted: C, Probability: 0.9998403573048239
Sequence717.csv_1: True Class: B, Predicted: C, Probability: 0.9999999487417128
Sequence718.csv_1: True Class: B, Predicted: B, Probability: 0.8510830938482202
Sequence719.csv_1: True Class: B, Predicted: C, Probability: 0.999999994465743
Sequence72.csv_1: True Class: A, Predicted: C, Probability: 0.998098448556181
Sequence720.csv_1: True Class: B, Predicted: A, Probability: 0.9810288177367391
Sequence721.csv_1: True Class: B, Predicted: B, Probability: 0.9910170500507013
Sequence722.csv_1: True Class: C, Predicted: B, Probability: 0.5900492569503933
Sequence723.csv_1: True Class: B, Predicted: B, Probability: 0.9999999956876185
Sequence724.csv_1: True Class: C, Predicted: A, Probability: 0.5166977330659732
Sequence725.csv_1: True Class: C, Predicted: C, Probability: 0.8179704962767803
Sequence726.csv_1: True Class: C, Predicted: A, Probability: 0.9999985292488756
Sequence727.csv_1: True Class: B, Predicted: B, Probability: 0.9998528769653245
Sequence728.csv_1: True Class: B, Predicted: A, Probability: 0.9669388839616211
Sequence729.csv_1: True Class: C, Predicted: B, Probability: 0.9979772664397351
Sequence73.csv_1: True Class: C, Predicted: A, Probability: 0.5433028450529603
Sequence730.csv_1: True Class: B, Predicted: B, Probability: 0.9935075922323884
Sequence731.csv_1: True Class: A, Predicted: B, Probability: 0.8690804073477407
Sequence732.csv_1: True Class: C, Predicted: C, Probability: 0.7465788573083081
Sequence733.csv_1: True Class: B, Predicted: A, Probability: 0.9958488977873052
Sequence734.csv_1: True Class: B, Predicted: C, Probability: 0.9613450629244951
Sequence735.csv_1: True Class: B, Predicted: A, Probability: 0.9999671289039894
Sequence736.csv_1: True Class: B, Predicted: B, Probability: 0.9709957295964479
Sequence737.csv_1: True Class: C, Predicted: B, Probability: 0.5734522263633763
Sequence738.csv_1: True Class: B, Predicted: B, Probability: 0.9939189500479574
Sequence739.csv_1: True Class: C, Predicted: B, Probability: 0.5522007942982037
Sequence74.csv_1: True Class: C, Predicted: A, Probability: 0.7144585256464602
Sequence740.csv_1: True Class: C, Predicted: C, Probability: 0.9971805397816583
Sequence741.csv_1: True Class: C, Predicted: B, Probability: 0.9939671321217898
Sequence742.csv_1: True Class: C, Predicted: C, Probability: 0.9997679368995198
Sequence743.csv_1: True Class: C, Predicted: C, Probability: 0.5846347956806974
Sequence744.csv_1: True Class: B, Predicted: B, Probability: 0.889874105268732
Sequence745.csv_1: True Class: C, Predicted: C, Probability: 0.9975908397969785
Sequence746.csv_1: True Class: A, Predicted: B, Probability: 0.8674469469892788
Sequence747.csv_1: True Class: C, Predicted: B, Probability: 0.856683917444318
Sequence748.csv_1: True Class: A, Predicted: A, Probability: 0.9985009008478853
Sequence749.csv_1: True Class: A, Predicted: B, Probability: 0.5677642400327152
Sequence75.csv_1: True Class: B, Predicted: B, Probability: 0.9749645831081295
Sequence750.csv_1: True Class: C, Predicted: C, Probability: 0.9300321848875238
Sequence751.csv_1: True Class: B, Predicted: C, Probability: 0.5131525191537888
Sequence752.csv_1: True Class: B, Predicted: C, Probability: 0.8756312284954663
Sequence753.csv_1: True Class: B, Predicted: A, Probability: 0.9999989353064531
Sequence754.csv_1: True Class: C, Predicted: C, Probability: 0.9999937885275603
Sequence755.csv_1: True Class: C, Predicted: B, Probability: 0.9994777153944356
Sequence756.csv_1: True Class: C, Predicted: A, Probability: 0.5007865260853676
Sequence757.csv_1: True Class: A, Predicted: B, Probability: 0.590319016508581
Sequence758.csv_1: True Class: B, Predicted: A, Probability: 0.9767947313187941
Sequence759.csv_1: True Class: A, Predicted: C, Probability: 0.9999994814373104
Sequence76.csv_1: True Class: C, Predicted: C, Probability: 0.999037943416451
Sequence760.csv_1: True Class: A, Predicted: C, Probability: 0.6776230559746284
Sequence761.csv_1: True Class: A, Predicted: B, Probability: 0.9857174182268322
Sequence762.csv_1: True Class: C, Predicted: C, Probability: 0.9999864480083185
Sequence763.csv_1: True Class: B, Predicted: C, Probability: 0.999905009837307
Sequence764.csv_1: True Class: B, Predicted: A, Probability: 0.9903915836646023
Sequence765.csv_1: True Class: B, Predicted: C, Probability: 0.8241328169751038
Sequence766.csv_1: True Class: A, Predicted: B, Probability: 0.999996535066879
Sequence767.csv_1: True Class: A, Predicted: C, Probability: 0.9644776521538684
Sequence768.csv_1: True Class: B, Predicted: B, Probability: 0.9972416621418358
Sequence769.csv_1: True Class: C, Predicted: A, Probability: 0.6244647380168615
Sequence77.csv_1: True Class: B, Predicted: B, Probability: 0.9999999998405291
Sequence770.csv_1: True Class: A, Predicted: B, Probability: 0.997044823207084
Sequence771.csv_1: True Class: B, Predicted: B, Probability: 0.9989913237510296
Sequence772.csv_1: True Class: C, Predicted: A, Probability: 0.9999999248160735
Sequence773.csv_1: True Class: C, Predicted: A, Probability: 0.6960465217747954
Sequence774.csv_1: True Class: B, Predicted: A, Probability: 0.9999974117996576
Sequence775.csv_1: True Class: C, Predicted: C, Probability: 0.9999742621853671
Sequence776.csv_1: True Class: C, Predicted: C, Probability: 0.7470130943979629
Sequence777.csv_1: True Class: C, Predicted: A, Probability: 0.9999999932454019
Sequence778.csv_1: True Class: C, Predicted: C, Probability: 0.9551800486108541
