Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999940374825104
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9448428567394822
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9998449353563198
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9994571019067874
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 0.9999840569468659
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9077315779002563
Sequence554.csv_1: True Class: A, Predicted: A, Probability: 0.9999999977606092
Sequence555.csv_1: True Class: B, Predicted: A, Probability: 0.6420774872826573
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999999858268652
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9998687261843978
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.999238661758624
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999992276846196
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 0.9998338563550973
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9497248347601429
Sequence561.csv_1: True Class: A, Predicted: B, Probability: 0.9997618240944087
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.5245806467794345
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999977044501567
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999625107162269
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999300772557158
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9972279681383955
Sequence567.csv_1: True Class: A, Predicted: B, Probability: 0.9957651612084832
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.784883031556884
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995954241
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.5132908307874645
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.9999999278881231
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9962087058517168
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9999288772688514
