Sequence549.csv_1: True Class: A, Predicted: B, Probability: 0.9098516696076443
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999427357661503
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999832059290372
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9946810540286479
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 0.651644810336086
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.749962367598784
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.9186274895134845
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9826421416963518
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9944871866712647
Sequence558.csv_1: True Class: A, Predicted: B, Probability: 0.5571934543846
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999901531455843
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.9958733477062638
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9998603882604391
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999651664221098
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.6394005052515456
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.987123010766508
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9999868323333571
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.5920347111735915
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999997832978
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9999999723193841
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9992400432611276
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.999999994014598
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9997209088175059
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.940531046526861
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9837101412807646
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9984134007909867
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9939991990032986
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999184903142448
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9996646256751541
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.999999999999817
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9999999940727916
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999902924
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.6341185796098138
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.9999999985069475
