Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999042
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.999537243322311
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999725868
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9978972475022589
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999984969844
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9163499790723464
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence556.csv_1: True Class: A, Predicted: A, Probability: 0.9999992730142462
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.999994493811333
Sequence559.csv_1: True Class: A, Predicted: B, Probability: 0.9999973473566666
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.999992037945729
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999931
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999999993316816
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.8188887203227503
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9997957574535917
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999997
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9942651855485607
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999983
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.999999999426377
Sequence57.csv_1: True Class: A, Predicted: B, Probability: 0.999999956310869
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.994420334954244
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9999998571852157
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.5322436176181811
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999629372
Sequence574.csv_1: True Class: B, Predicted: A, Probability: 0.6881915461317233
Sequence575.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999973438
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999954634368389
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999998546749197
Sequence578.csv_1: True Class: A, Predicted: B, Probability: 0.9911651750057222
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.5455760225912416
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999997495026408
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 0.6295766563811765
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.9999999999996363
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.999999899562605
Sequence583.csv_1: True Class: B, Predicted: B, Probability: 0.9999999997642568
Sequence584.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999992041
Sequence586.csv_1: True Class: A, Predicted: B, Probability: 0.6809880782170393
Sequence587.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999992
Sequence588.csv_1: True Class: B, Predicted: A, Probability: 0.998730842513021
Sequence589.csv_1: True Class: B, Predicted: B, Probability: 0.9998446352648902
