Sequence549.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9960258144339078
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.9999999805660433
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9999998892098856
Sequence553.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9991671831732303
Sequence555.csv_1: True Class: A, Predicted: B, Probability: 0.6606186554243977
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9998229843794291
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.99999999999617
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9962582139686704
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9999655191452329
Sequence56.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.9999996381222009
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.9999999935277786
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.9999426900570074
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.999998411801281
Sequence564.csv_1: True Class: B, Predicted: B, Probability: 0.995084140298022
Sequence565.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999921
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.9999274094170273
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 0.9999999669985553
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9999999981352192
Sequence57.csv_1: True Class: B, Predicted: B, Probability: 0.9335577875790393
Sequence570.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999932748
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.7612485834002405
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9994974830741317
Sequence573.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999841054
Sequence574.csv_1: True Class: A, Predicted: B, Probability: 0.8635132557713688
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999227631
Sequence576.csv_1: True Class: B, Predicted: B, Probability: 0.9999980446217096
Sequence577.csv_1: True Class: B, Predicted: B, Probability: 0.9999999890787935
Sequence578.csv_1: True Class: B, Predicted: B, Probability: 0.9908543857482114
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.9999999998871563
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999972
Sequence580.csv_1: True Class: A, Predicted: B, Probability: 0.9942313199379702
Sequence581.csv_1: True Class: B, Predicted: A, Probability: 0.8289075658206159
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence583.csv_1: True Class: B, Predicted: A, Probability: 0.9999837742861288
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.9999316762998425
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999800169
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence587.csv_1: True Class: B, Predicted: B, Probability: 0.9999999999999996
Sequence588.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999601
