Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999951575267324
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9994792711480492
Sequence550.csv_1: True Class: A, Predicted: B, Probability: 0.6234263257080278
Sequence551.csv_1: True Class: B, Predicted: B, Probability: 0.7049884238778708
Sequence552.csv_1: True Class: A, Predicted: B, Probability: 0.9995570531577975
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.5621827794399864
Sequence554.csv_1: True Class: A, Predicted: B, Probability: 0.999895629663934
Sequence555.csv_1: True Class: B, Predicted: B, Probability: 0.9682230399837931
Sequence556.csv_1: True Class: B, Predicted: B, Probability: 0.9278840166729165
Sequence557.csv_1: True Class: A, Predicted: B, Probability: 0.9998542783841644
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.6001313363368218
Sequence559.csv_1: True Class: B, Predicted: A, Probability: 0.7465978782044069
Sequence56.csv_1: True Class: A, Predicted: B, Probability: 0.910313109289579
Sequence560.csv_1: True Class: B, Predicted: B, Probability: 0.9991379597587411
Sequence561.csv_1: True Class: B, Predicted: A, Probability: 0.9999993487048636
Sequence562.csv_1: True Class: B, Predicted: B, Probability: 0.975080217572488
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9998008400933893
Sequence564.csv_1: True Class: A, Predicted: A, Probability: 0.9738655279594038
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.9999538600220848
Sequence566.csv_1: True Class: A, Predicted: B, Probability: 0.5128901545310275
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9999974203283952
Sequence568.csv_1: True Class: A, Predicted: B, Probability: 0.9999995416064111
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 0.9670339013847792
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.6647699727698578
Sequence570.csv_1: True Class: B, Predicted: A, Probability: 0.9932607346592954
Sequence571.csv_1: True Class: B, Predicted: A, Probability: 0.7751014573109544
Sequence572.csv_1: True Class: A, Predicted: A, Probability: 0.9967057631648376
Sequence573.csv_1: True Class: B, Predicted: A, Probability: 0.9864628934135798
Sequence574.csv_1: True Class: B, Predicted: B, Probability: 0.9999775506113731
Sequence575.csv_1: True Class: A, Predicted: B, Probability: 0.997263465952267
Sequence576.csv_1: True Class: A, Predicted: A, Probability: 0.9999999736800659
Sequence577.csv_1: True Class: B, Predicted: A, Probability: 0.6430536811315926
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.6070117618036388
Sequence579.csv_1: True Class: A, Predicted: B, Probability: 0.9999977325019469
Sequence58.csv_1: True Class: A, Predicted: A, Probability: 0.992324439640025
Sequence580.csv_1: True Class: B, Predicted: A, Probability: 0.9452693605015504
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9998904185586692
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.8478937851098733
Sequence583.csv_1: True Class: A, Predicted: B, Probability: 0.9998922963692776
Sequence584.csv_1: True Class: A, Predicted: B, Probability: 0.9764803266671699
Sequence585.csv_1: True Class: B, Predicted: B, Probability: 0.9805594006601885
Sequence586.csv_1: True Class: B, Predicted: B, Probability: 0.9874606727766894
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9999990928492165
Sequence588.csv_1: True Class: B, Predicted: B, Probability: 0.9997039058186137
