Sequence549.csv_1: True Class: A, Predicted: A, Probability: 0.9999828715769807
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence550.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999982
Sequence551.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999999988
Sequence552.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence553.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999438939
Sequence554.csv_1: True Class: B, Predicted: A, Probability: 0.9999255828823431
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence556.csv_1: True Class: A, Predicted: B, Probability: 0.9924883987972456
Sequence557.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence558.csv_1: True Class: A, Predicted: A, Probability: 0.8370445463509883
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence56.csv_1: True Class: B, Predicted: A, Probability: 0.9896244089568857
Sequence560.csv_1: True Class: A, Predicted: A, Probability: 0.9999999996359269
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence563.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999958641
Sequence564.csv_1: True Class: A, Predicted: B, Probability: 0.9999998649477322
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence566.csv_1: True Class: A, Predicted: A, Probability: 0.9999999995796887
Sequence567.csv_1: True Class: A, Predicted: A, Probability: 0.9999939475459806
Sequence568.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence569.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence57.csv_1: True Class: A, Predicted: A, Probability: 0.9999999813467557
Sequence570.csv_1: True Class: A, Predicted: B, Probability: 0.9993137212934935
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence572.csv_1: True Class: B, Predicted: B, Probability: 1.0
Sequence573.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9999999874189829
Sequence575.csv_1: True Class: A, Predicted: A, Probability: 0.9999999999933126
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.8767802934433075
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence578.csv_1: True Class: A, Predicted: A, Probability: 0.9999946754050033
Sequence579.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence58.csv_1: True Class: A, Predicted: B, Probability: 0.7490063637824113
Sequence580.csv_1: True Class: A, Predicted: A, Probability: 1.0
Sequence581.csv_1: True Class: A, Predicted: A, Probability: 0.9999999998407717
Sequence582.csv_1: True Class: A, Predicted: A, Probability: 0.9999999876276667
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9999998876791855
