Sequence549.csv_1: True Class: B, Predicted: A, Probability: 0.9172488004901806
Sequence55.csv_1: True Class: A, Predicted: A, Probability: 0.9999141449830948
Sequence550.csv_1: True Class: B, Predicted: A, Probability: 0.7939922518855145
Sequence551.csv_1: True Class: A, Predicted: B, Probability: 0.9995974718570733
Sequence552.csv_1: True Class: B, Predicted: A, Probability: 0.9829507954527179
Sequence553.csv_1: True Class: B, Predicted: A, Probability: 0.5093631072572808
Sequence554.csv_1: True Class: B, Predicted: B, Probability: 0.9856522381107194
Sequence555.csv_1: True Class: A, Predicted: A, Probability: 0.8415696501238402
Sequence556.csv_1: True Class: B, Predicted: A, Probability: 0.9975761227257592
Sequence557.csv_1: True Class: A, Predicted: A, Probability: 0.9995802456580662
Sequence558.csv_1: True Class: B, Predicted: B, Probability: 0.9777203161421185
Sequence559.csv_1: True Class: A, Predicted: A, Probability: 0.9998542384691446
Sequence56.csv_1: True Class: B, Predicted: B, Probability: 0.7933389970717633
Sequence560.csv_1: True Class: B, Predicted: A, Probability: 0.7079125089628308
Sequence561.csv_1: True Class: A, Predicted: A, Probability: 0.6185985185209967
Sequence562.csv_1: True Class: A, Predicted: A, Probability: 0.9984705182892626
Sequence563.csv_1: True Class: B, Predicted: A, Probability: 0.9787924838955298
Sequence564.csv_1: True Class: B, Predicted: A, Probability: 0.9839563139609381
Sequence565.csv_1: True Class: A, Predicted: A, Probability: 0.8252629482924312
Sequence566.csv_1: True Class: B, Predicted: B, Probability: 0.7463656842480817
Sequence567.csv_1: True Class: B, Predicted: B, Probability: 0.9910436041583436
Sequence568.csv_1: True Class: B, Predicted: B, Probability: 0.8678463636739868
Sequence569.csv_1: True Class: A, Predicted: B, Probability: 0.5350423144333896
Sequence57.csv_1: True Class: B, Predicted: A, Probability: 0.9788668899099379
Sequence570.csv_1: True Class: A, Predicted: A, Probability: 0.8945814950116893
Sequence571.csv_1: True Class: A, Predicted: A, Probability: 0.9996556918642056
Sequence572.csv_1: True Class: A, Predicted: B, Probability: 0.9881344082359715
Sequence573.csv_1: True Class: A, Predicted: B, Probability: 0.9892033022664632
Sequence574.csv_1: True Class: A, Predicted: A, Probability: 0.9239664299919941
Sequence575.csv_1: True Class: B, Predicted: A, Probability: 0.5126121239697653
Sequence576.csv_1: True Class: A, Predicted: B, Probability: 0.8281714641101372
Sequence577.csv_1: True Class: A, Predicted: A, Probability: 0.9509931567826059
Sequence578.csv_1: True Class: B, Predicted: A, Probability: 0.7568570629570703
Sequence579.csv_1: True Class: B, Predicted: A, Probability: 0.926626166803125
Sequence58.csv_1: True Class: B, Predicted: A, Probability: 0.766359534685456
Sequence580.csv_1: True Class: B, Predicted: B, Probability: 0.9999757809507789
Sequence581.csv_1: True Class: A, Predicted: B, Probability: 0.5632679498262939
Sequence582.csv_1: True Class: B, Predicted: A, Probability: 0.9276917871822199
Sequence583.csv_1: True Class: A, Predicted: A, Probability: 0.9667447840628953
Sequence584.csv_1: True Class: B, Predicted: A, Probability: 0.9018724033679346
Sequence585.csv_1: True Class: A, Predicted: B, Probability: 0.9991360098265267
Sequence586.csv_1: True Class: A, Predicted: A, Probability: 0.9999991975485273
Sequence587.csv_1: True Class: B, Predicted: A, Probability: 0.9965214707648518
Sequence588.csv_1: True Class: A, Predicted: B, Probability: 0.9999956503882698
Sequence589.csv_1: True Class: A, Predicted: A, Probability: 0.9999850186134068
Sequence59.csv_1: True Class: B, Predicted: A, Probability: 0.976026428641502
Sequence590.csv_1: True Class: B, Predicted: A, Probability: 0.6679830615228847
Sequence591.csv_1: True Class: B, Predicted: B, Probability: 0.9999996041392227
Sequence592.csv_1: True Class: B, Predicted: B, Probability: 0.9920675402261439
Sequence593.csv_1: True Class: A, Predicted: A, Probability: 0.995175598214234
Sequence594.csv_1: True Class: B, Predicted: A, Probability: 0.9506963844358484
Sequence595.csv_1: True Class: A, Predicted: A, Probability: 0.8872704467016235
Sequence596.csv_1: True Class: A, Predicted: A, Probability: 0.9731250993660688
Sequence597.csv_1: True Class: A, Predicted: A, Probability: 0.9237208203450813
Sequence598.csv_1: True Class: A, Predicted: B, Probability: 0.9872877543170145
